FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
195102,20,1500,1005221,10047277,"D","02/20/1951 15:00:00",,"","",195102
195104,21,1925,1005222,10047279,"D","04/21/1951 19:25:00",,"","",195104
195105,26,930,1005223,9985761,"D","05/26/1951 09:30:00",,"","",195105
195105,18,1545,1005224,10120425,"D","05/18/1951 15:45:00",,"","",195105
195105,24,1700,1005225,10120426,"D","05/24/1951 17:00:00",,"","",195105
195105,25,1600,1005226,10028704,"D","05/25/1951 16:00:00",,"","",195105
195106,19,1900,1005227,10052053,"D","06/19/1951 19:00:00",,"","",195106
195106,23,2200,1005228,10025120,"D","06/23/1951 22:00:00",,"","",195106
195106,23,2200,1005229,10025121,"D","06/23/1951 22:00:00",,"","",195106
195106,27,10,1005230,10025122,"D","06/27/1951 00:10:00",,"","",195106
195106,27,2045,1005231,10009722,"D","06/27/1951 20:45:00",,"","",195106
195107,20,2100,1005232,10052055,"D","07/20/1951 21:00:00",,"","",195107
195109,26,2100,1005233,10039410,"D","09/26/1951 21:00:00",,"","",195109
195109,26,1608,1005234,10146812,"D","09/26/1951 16:08:00",,"","",195109
195109,26,1630,1005235,10146813,"D","09/26/1951 16:30:00",,"","",195109
195111,13,1750,1005236,10035924,"D","11/13/1951 17:50:00",,"","",195111
195112,6,1800,1005237,10009725,"D","12/06/1951 18:00:00",,"","",195112
