FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
195901,21,1230,1005462,10033678,"D","01/21/1959 12:30:00",,"","",195901
195902,10,140,1005463,10062651,"D","02/10/1959 01:40:00",,"","",195902
195902,10,210,1005464,10062654,"D","02/10/1959 02:10:00",,"","",195902
195903,14,2030,1005465,9980905,"D","03/14/1959 20:30:00",,"","",195903
195903,14,2035,1005466,9980907,"D","03/14/1959 20:35:00",,"","",195903
195903,14,2115,1005467,9980910,"D","03/14/1959 21:15:00",,"","",195903
195903,31,2100,1005468,10122981,"D","03/31/1959 21:00:00",,"","",195903
195904,2,630,1005469,9984956,"D","04/02/1959 06:30:00",,"","",195904
195905,30,1800,1005470,10069464,"D","05/30/1959 18:00:00",,"","",195905
195905,9,1840,1005471,10095666,"D","05/09/1959 18:40:00",,"","",195905
195906,11,1415,1005472,10050393,"D","06/11/1959 14:15:00",,"","",195906
195906,26,1600,1005473,10159476,"D","06/26/1959 16:00:00",,"","",195906
195909,26,1517,1005474,10009817,"D","09/26/1959 15:17:00",,"","",195909
195909,27,1800,1005475,10025636,"D","09/27/1959 18:00:00",,"","",195909
195909,30,1500,1005476,10150861,"D","09/30/1959 15:00:00",,"","",195909
195909,30,1530,1005477,10150862,"D","09/30/1959 15:30:00",,"","",195909
