FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
200906,8,0,5491,180112,"D","06/08/2009 00:00:00",45,"F","In Water",999999
200906,27,0,5565,180865,"I","06/27/2009 00:00:00",91,"F","Vehicle/Towed Trailer",999999
200906,8,0,5510,181067,"D","06/08/2009 00:00:00",53,"M","Outside/Open Areas",999999
200907,13,0,5501,181230,"D","07/13/2009 00:00:00",82,"M","Permanent Home",999999
200907,14,0,5502,181231,"D","07/14/2009 00:00:00",83,"M","Permanent Home",999999
200907,15,0,5503,181232,"D","07/15/2009 00:00:00",78,"M","Mobile/Trailer Home",999999
200907,18,0,5504,181233,"D","07/18/2009 00:00:00",95,"F","Permanent Home",999999
200907,29,0,5505,181234,"D","07/29/2009 00:00:00",82,"F","Permanent Home",999999
200907,31,0,5506,181235,"D","07/31/2009 00:00:00",58,"M","Outside/Open Areas",999999
200906,24,0,5507,181369,"D","06/24/2009 00:00:00",44,"M","Outside/Open Areas",999999
200906,26,0,5508,181373,"I","06/26/2009 00:00:00",,"F","Vehicle/Towed Trailer",999999
200906,26,0,5509,181373,"I","06/26/2009 00:00:00",,"F","Vehicle/Towed Trailer",999999
200908,19,0,5514,181471,"I","08/19/2009 00:00:00",86,"M","Vehicle/Towed Trailer",999999
200908,19,0,5515,181471,"I","08/19/2009 00:00:00",78,"F","Vehicle/Towed Trailer",999999
200906,27,0,5512,182325,"D","06/27/2009 00:00:00",49,"M","Outside/Open Areas",999999
200906,26,0,5513,182389,"I","06/26/2009 00:00:00",77,"F","Permanent Home",999999
200906,24,0,5516,183137,"D","06/24/2009 00:00:00",37,"M","Outside/Open Areas",999999
200906,10,0,5517,183188,"I","06/10/2009 00:00:00",39,"M","Outside/Open Areas",999999
200906,10,0,5518,183188,"I","06/10/2009 00:00:00",36,"F","Outside/Open Areas",999999
200908,22,0,5525,183476,"D","08/22/2009 00:00:00",54,"M","In Water",999999
200906,17,0,5526,183857,"D","06/17/2009 00:00:00",23,"F","Outside/Open Areas",999999
200901,4,0,4602,139622,"D","01/04/2009 00:00:00",,"","Vehicle/Towed Trailer",999999
200901,9,0,4378,141075,"I","01/09/2009 00:00:00",70,"M","Boating",999999
200901,9,0,4379,141075,"I","01/09/2009 00:00:00",74,"M","Boating",999999
