YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
200105,1114330,5244397,1,20,"SW","GRENVILLE",36.4,-103.85,,
200105,1114330,5244398,1,6,"S","ABBOTT",36.21667,-104.26667,,
200105,1114330,5244399,1,10,"N","MILLS",36.23333,-104.25,,
200105,1114330,5244400,1,2,"N","SPRINGER",36.4,-104.58333,,
200105,1114330,5244401,1,6,"SE","ROY",35.88333,-104.11667,,
200104,1114113,5244031,1,,"","O FALLON",38.8,-90.7,,
200105,1114300,5244060,1,,"","",,,,
200105,1114300,5244061,1,,"","",,,,
200104,1114136,5244249,1,,"","GOODLAND ARPT",39.36667,-101.7,,
200104,1114136,5244250,1,2,"E","BREWSTER",39.36667,-101.35,,
200104,1114136,5244251,1,5,"SW","ATWOOD",39.75,-101.11667,,
200104,1114136,5244252,1,7,"NW","ATWOOD",39.86667,-101.15,,
200104,1114136,5244253,1,,"","LEVANT",39.38333,-101.2,,
200104,1114136,5244254,1,10,"S","COLBY",,,,
200104,1114136,5244255,1,,"","COLBY",39.4,-101.05,,
200106,1115365,5246832,1,2,"N","NORTHWOOD",43.48333,-93.21667,,
200105,1115138,5247036,1,,"","",,,,
200106,1115370,5246860,1,,"","",,,,
200106,1115370,5246861,1,,"","",,,,
200106,1115370,5246862,1,,"","",,,,
200106,1115370,5246863,1,,"","",,,,
200106,1115416,5246864,1,,"","SUMTER",33.91667,-80.35,,
200106,1115537,5246865,1,8,"S","CHOCTAW",34.45,-96.63333,,
200106,1115537,5246866,1,8,"S","CHOCTAW",35.38333,-97.16667,,
200106,1115537,5246867,1,1,"E","CHOCTAW",35.38333,-97.26667,,
200106,1115537,5246868,1,,"","TISHOMINGO",35.38333,-97.26667,,
200106,1115537,5246869,1,,"","CHOCTAW",35.5,-97.25,,
200106,1115537,5246870,1,9,"SSE","CHOCTAW",34.23333,-96.66667,,
200106,1116609,5251547,1,1,"NW","PENROSE",38.43333,-105.03333,,
200106,1116609,5251548,1,6,"N","YODER",38.91667,-104.21667,,
200106,1116609,5251549,1,7,"NE","COLORADO SPGS",38.9,-104.71667,,
200106,1116609,5251550,1,,"","BLACK FOREST",39.01667,-104.7,,
200106,1116616,5251551,1,,"","LAURINBURG",34.76667,-79.45,,
200106,1116616,5251552,1,,"","FAYETTEVILLE",35.06667,-78.9,,
200105,1114341,5243700,1,,"","MECHANICVILLE",42.71667,-73.85,,
200105,1114228,5243701,1,,"","COUNTYWIDE",36.41667,-82.96667,,
200105,1114229,5243702,1,,"","COUNTYWIDE",36.05,-83.46667,,
200105,1114230,5243703,1,,"","COLONIAL HGTS",36.48333,-82.5,,
200105,1114231,5243704,1,,"","KINGSPORT",36.55,-82.55,,
200105,1114678,5244541,1,,"","EFFIE",31.21667,-92.16667,,
200105,1114679,5244542,1,,"","PICKERING",31.03333,-93.28333,,
200105,1114680,5244543,1,,"","FULLERTON",31.01667,-92.98333,,
200105,1114681,5244544,1,,"","ALEXANDRIA",31.3,-92.46667,,
200105,1114682,5244545,1,,"","ALEXANDRIA",31.3,-92.46667,,
200104,1113430,5241685,1,,"","HILTON HEAD IS",,,,
200104,1113431,5241686,1,,"","",,,,
200105,1113636,5241942,1,,"","HAVELOCK",42.83333,-94.7,,
200104,1113720,5241943,1,,"","",,,,
200104,1113720,5241951,1,,"","",,,,
200105,1113638,5242143,1,,"","SPRING HILL",41.61667,-93.9,,
200105,1114517,5244645,1,,"","SPRINGVILLE",33.76667,-86.46667,,
200105,1114518,5244646,1,,"","BIRMINGHAM",33.51667,-86.81667,,
200105,1114964,5244721,1,,"","",,,,
200105,1114964,5244722,1,,"","",,,,
200105,1114969,5244827,1,,"","COUNTYWIDE",,,,
200105,1114956,5244600,1,,"","",,,,
200105,1114957,5244601,1,,"","",,,,
200105,1114957,5244614,1,,"","",,,,
200105,1114925,5244698,1,,"","",,,,
200105,1114926,5244699,1,,"","RIVERHEAD",,,,
200105,1114963,5244712,1,,"","",,,,
200105,1114963,5244713,1,,"","",,,,
200105,1114596,5245080,1,,"","",,,,
200105,1114596,5245081,1,,"","",,,,
200105,1114781,5245336,1,3,"W","PARKS",40.05,-101.76667,,
200105,1114782,5245337,1,,"","ONAWA",42.03333,-96.1,,
200105,1114783,5245338,1,,"","ONAWA",42.03333,-96.1,,
200105,1114784,5245339,1,1,"E","TECUMSEH",40.36667,-96.16667,,
200105,1114785,5245340,1,,"","ROCA",40.65,-96.65,,
200105,1114786,5245341,1,,"","ROCA",40.65,-96.65,,
200105,1114787,5245342,1,4,"SW","DOUGLAS",40.55,-96.41667,,
200105,1114788,5245343,1,2,"S","PLEASANT DALE",40.75,-96.91667,,
200105,1114789,5245344,1,,"","DENTON",40.73333,-96.83333,,
200105,1114790,5245345,1,6,"SW","TECUMSEH",40.3,-96.26667,,
200105,1114791,5245346,1,,"","OFFUTT AFB",41.11667,-95.91667,,
200105,1114792,5245347,1,,"","SIDNEY",40.75,-95.65,,
200106,1116745,5250836,1,,"","SOUTH PORTION",,,,
200106,1116746,5250837,1,,"","PINEVILLE",36.6,-94.38333,,
200106,1116747,5250838,1,,"","CASSVILLE",36.68333,-93.86667,,
200106,1116748,5250839,1,3,"N","LAKE OZARKS WEST",38.23333,-92.93333,,
200106,1116749,5250840,1,,"","SPOKANE",36.86667,-93.3,,
200106,1116750,5250841,1,,"","HURLEY",36.93333,-93.5,,
