FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
200503,6,0,21018,5445472,"D","03/06/2005 12:00:00",32,"M","Other",200503
200501,10,0,21410,5439118,"D","01/10/2005 12:00:00",47,"M","Permanent Home",200501
200501,10,0,21411,5439118,"D","01/10/2005 12:00:00",51,"M","Permanent Home",200501
200501,10,0,20978,5436694,"D","01/10/2005 12:00:00",35,"F","In Water",200501
200501,11,0,20979,5436701,"D","01/11/2005 12:00:00",18,"F","Under Tree",200501
200501,8,0,20980,5436799,"D","01/08/2005 12:00:00",,"M","In Water",200501
200501,29,0,21001,5437205,"D","01/29/2005 12:00:00",49,"M","In Water",200501
200502,6,0,20982,5437414,"D","02/06/2005 12:00:00",55,"F","Outside/Open Areas",200502
200502,28,0,20984,5437167,"D","02/28/2005 12:00:00",,"F","Vehicle/Towed Trailer",200502
200502,1,0,21000,5437849,"D","02/01/2005 12:00:00",,"M","Outside/Open Areas",200502
200501,10,0,21003,5441396,"D","01/10/2005 12:00:00",62,"M","Vehicle/Towed Trailer",200501
200501,8,0,21004,5441398,"D","01/08/2005 12:00:00",42,"M","Outside/Open Areas",200501
200501,8,0,21005,5441398,"D","01/08/2005 12:00:00",26,"M","Outside/Open Areas",200501
200501,1,0,21007,5441401,"D","01/01/2005 12:00:00",31,"F","In Water",200501
200502,20,0,21008,5441760,"D","02/20/2005 12:00:00",16,"F","Permanent Home",200502
200502,22,0,21009,5441775,"D","02/22/2005 12:00:00",,"M","In Water",200502
200503,31,0,21012,5439714,"D","03/31/2005 12:00:00",63,"M","Outside/Open Areas",200503
200503,16,0,21013,5440179,"D","03/16/2005 12:00:00",,"M","Outside/Open Areas",200503
200503,22,0,21014,5439830,"D","03/22/2005 12:00:00",34,"F","Mobile/Trailer Home",200503
200503,17,0,21017,5444706,"D","03/17/2005 12:00:00",39,"M","Vehicle/Towed Trailer",200503
200503,22,0,21021,5444669,"D","03/22/2005 12:00:00",55,"F","In Water",200503
200503,19,0,21022,5442995,"D","03/19/2005 12:00:00",14,"M","In Water",200503
200503,24,0,21027,5443154,"D","03/24/2005 12:00:00",76,"M","Vehicle/Towed Trailer",200503
200503,24,0,21028,5443155,"D","03/24/2005 12:00:00",2,"M","Vehicle/Towed Trailer",200503
200504,26,0,21029,5443710,"D","04/26/2005 12:00:00",42,"M","In Water",200504
200504,1,0,21030,5448566,"D","04/01/2005 12:00:00",27,"M","Outside/Open Areas",200504
200504,19,0,21031,5447520,"D","04/19/2005 12:00:00",28,"M","In Water",200504
200504,19,0,21032,5447520,"D","04/19/2005 12:00:00",17,"M","In Water",200504
200504,8,0,21033,5447988,"D","04/08/2005 12:00:00",39,"M","Outside/Open Areas",200504
200503,28,0,21034,5448069,"D","03/28/2005 12:00:00",69,"M","In Water",200503
200504,3,0,21392,5447555,"D","04/03/2005 12:00:00",55,"M","Vehicle/Towed Trailer",200504
200504,2,0,21037,5445914,"D","04/02/2005 12:00:00",61,"F","Vehicle/Towed Trailer",200504
200505,20,0,21038,5446988,"D","05/20/2005 12:00:00",22,"M","Outside/Open Areas",200505
200505,22,0,21039,5446989,"D","05/22/2005 12:00:00",,"M","Outside/Open Areas",200505
200505,23,0,21040,5446989,"D","05/23/2005 12:00:00",,"","Outside/Open Areas",200505
200505,21,0,21041,5446989,"D","05/21/2005 12:00:00",35,"F","Outside/Open Areas",200505
200505,23,0,21042,5446989,"D","05/23/2005 12:00:00",,"M","Outside/Open Areas",200505
200505,21,0,21043,5446989,"D","05/21/2005 12:00:00",,"M","Outside/Open Areas",200505
200505,25,0,21044,5446989,"D","05/25/2005 12:00:00",48,"M","Outside/Open Areas",200505
200505,26,0,21045,5446989,"D","05/26/2005 12:00:00",,"","Outside/Open Areas",200505
200505,26,0,21046,5446989,"D","05/26/2005 12:00:00",,"","Outside/Open Areas",200505
200505,22,0,21047,5446990,"D","05/22/2005 12:00:00",19,"M","Outside/Open Areas",200505
200505,21,0,21048,5446990,"D","05/21/2005 12:00:00",27,"M","Outside/Open Areas",200505
200505,26,0,21049,5446991,"D","05/26/2005 12:00:00",,"M","Outside/Open Areas",200505
200505,28,0,21050,5446992,"D","05/28/2005 12:00:00",70,"M","Under Tree",200505
200505,21,0,21051,5446009,"D","05/21/2005 12:00:00",57,"M","Outside/Open Areas",200505
200505,21,0,21052,5446009,"D","05/21/2005 12:00:00",27,"M","Outside/Open Areas",200505
200505,20,0,21058,5446324,"D","05/20/2005 12:00:00",18,"F","In Water",200505
200504,6,0,21054,5451475,"D","04/06/2005 12:00:00",42,"M","Permanent Home",200504
200504,11,0,21055,5446996,"D","04/11/2005 12:00:00",55,"M","Under Tree",200504
200504,3,0,21134,5450473,"D","04/03/2005 12:00:00",50,"M","Vehicle/Towed Trailer",200504
200506,12,0,21057,5454077,"D","06/12/2005 12:00:00",65,"F","In Water",200506
200506,26,0,21059,5453477,"D","06/26/2005 12:00:00",8,"M","Boat",200506
200506,6,0,21060,5451640,"D","06/06/2005 12:00:00",83,"F","Permanent Home",200506
200506,30,0,21110,5451649,"D","06/30/2005 12:00:00",48,"M","Permanent Home",200506
200506,28,0,21298,5452019,"D","06/28/2005 12:00:00",17,"M","Outside/Open Areas",200506
200507,7,0,21063,5452811,"D","07/07/2005 12:00:00",70,"M","In Water",200507
200507,7,0,21064,5452815,"D","07/07/2005 12:00:00",70,"M","In Water",200507
200505,27,0,21065,5456575,"D","05/27/2005 12:00:00",25,"M","In Water",200505
200506,22,0,21066,5456577,"D","06/22/2005 12:00:00",40,"M","In Water",200506
200506,5,0,21067,5456633,"D","06/05/2005 12:00:00",16,"M","In Water",200506
200506,5,0,21068,5456633,"D","06/05/2005 12:00:00",40,"M","In Water",200506
200506,15,0,21069,5457332,"D","06/15/2005 12:00:00",64,"M","Outside/Open Areas",200506
200506,26,0,21070,5457412,"D","06/26/2005 12:00:00",15,"M","Outside/Open Areas",200506
200506,5,0,21071,5456920,"D","06/05/2005 12:00:00",50,"M","Outside/Open Areas",200506
200506,26,0,21072,5455513,"D","06/26/2005 12:00:00",33,"","In Water",200506
200506,26,0,21073,5455513,"D","06/26/2005 12:00:00",30,"","In Water",200506
200506,27,0,21074,5455084,"D","06/27/2005 12:00:00",47,"F","Under Tree",200506
200506,21,0,21075,5455383,"D","06/21/2005 12:00:00",13,"M","In Water",200506
200506,21,0,21076,5455383,"D","06/21/2005 12:00:00",14,"M","In Water",200506
200506,6,0,21077,5455796,"D","06/06/2005 12:00:00",53,"M","Outside/Open Areas",200506
200506,9,0,21078,5456072,"D","06/09/2005 12:00:00",45,"M","Golfing",200506
200506,27,0,21079,5455272,"D","06/27/2005 12:00:00",86,"F","Permanent Home",200506
200506,14,0,21080,5455277,"D","06/14/2005 12:00:00",74,"F","Permanent Home",200506
200506,15,0,21081,5455277,"D","06/15/2005 12:00:00",76,"M","Permanent Home",200506
200506,16,0,21082,5455277,"D","06/16/2005 12:00:00",69,"F","Permanent Home",200506
200506,29,0,21199,5459254,"D","06/29/2005 12:00:00",55,"M","Camping",200506
200506,18,0,21083,5459199,"D","06/18/2005 12:00:00",39,"M","Outside/Open Areas",200506
200506,26,0,21084,5459274,"D","06/26/2005 12:00:00",18,"M","In Water",200506
200506,12,0,21085,5457919,"D","06/12/2005 12:00:00",49,"M","Boat",200506
200507,3,0,21086,5457627,"D","07/03/2005 12:00:00",38,"M","Boat",200507
200506,10,0,21087,5461934,"D","06/10/2005 12:00:00",,"M","Under Tree",200506
200506,7,0,21089,5462926,"D","06/07/2005 12:00:00",47,"M","Vehicle/Towed Trailer",200506
200506,14,0,21090,5461919,"D","06/14/2005 12:00:00",35,"M","Outside/Open Areas",200506
200506,25,0,21091,5461994,"D","06/25/2005 12:00:00",15,"M","Under Tree",200506
200506,29,0,21092,5462085,"D","06/29/2005 12:00:00",42,"M","Golfing",200506
200506,29,0,21093,5462144,"D","06/29/2005 12:00:00",40,"M","Outside/Open Areas",200506
200507,27,0,21097,5461100,"D","07/27/2005 12:00:00",63,"M","Permanent Home",200507
200506,22,0,21098,5461604,"D","06/22/2005 12:00:00",53,"F","Outside/Open Areas",200506
200506,3,0,21099,5461677,"D","06/03/2005 12:00:00",37,"M","In Water",200506
200507,10,0,21100,5461752,"D","07/10/2005 12:00:00",13,"M","Outside/Open Areas",200507
200507,25,0,21101,5461442,"D","07/25/2005 12:00:00",73,"M","Outside/Open Areas",200507
200507,25,0,21102,5461450,"D","07/25/2005 12:00:00",79,"M","Outside/Open Areas",200507
200507,27,0,21103,5461251,"D","07/27/2005 12:00:00",53,"M","Outside/Open Areas",200507
200507,25,0,21104,5464540,"D","07/25/2005 12:00:00",72,"F","Permanent Home",200507
200507,25,0,21105,5464554,"D","07/25/2005 12:00:00",95,"M","Permanent Home",200507
200507,26,0,21106,5464554,"D","07/26/2005 12:00:00",56,"F","Permanent Home",200507
200507,25,0,21108,5464574,"D","07/25/2005 12:00:00",73,"M","Permanent Home",200507
200507,12,0,21111,5464732,"D","07/12/2005 12:00:00",38,"M","In Water",200507
200507,12,0,21112,5464732,"D","07/12/2005 12:00:00",22,"M","In Water",200507
200507,24,0,21116,5465453,"D","07/24/2005 12:00:00",27,"M","Camping",200507
200507,25,0,21117,5464679,"D","07/25/2005 12:00:00",40,"M","Outside/Open Areas",200507
200507,4,0,21118,5465134,"D","07/04/2005 12:00:00",25,"M","Outside/Open Areas",200507
200507,5,0,21119,5465134,"D","07/05/2005 12:00:00",,"F","Outside/Open Areas",200507
200507,4,0,21120,5465135,"D","07/04/2005 12:00:00",,"","Outside/Open Areas",200507
200507,4,0,21121,5465135,"D","07/04/2005 12:00:00",,"","Outside/Open Areas",200507
200507,2,0,21122,5465135,"D","07/02/2005 12:00:00",,"M","Outside/Open Areas",200507
200507,2,0,21123,5465135,"D","07/02/2005 12:00:00",,"F","Outside/Open Areas",200507
200507,2,0,21124,5465135,"D","07/02/2005 12:00:00",,"","Outside/Open Areas",200507
200507,4,0,21125,5465135,"D","07/04/2005 12:00:00",,"F","Outside/Open Areas",200507
