FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
197702,23,1600,1005968,10049971,"D","02/23/1977 16:00:00",,"","",197702
197704,4,1430,1005969,9976472,"D","04/04/1977 14:30:00",,"","",197704
197704,4,1500,1005970,9976475,"D","04/04/1977 15:00:00",,"","",197704
197704,2,1406,1005971,10039827,"D","04/02/1977 14:06:00",,"","",197704
197704,4,1515,1005972,9995222,"D","04/04/1977 15:15:00",,"","",197704
197704,21,515,1005973,10033398,"D","04/21/1977 05:15:00",,"","",197704
197705,4,1145,1005974,10059538,"D","05/04/1977 11:45:00",,"","",197705
197705,4,1315,1005975,10059541,"D","05/04/1977 13:15:00",,"","",197705
197705,15,1838,1005976,10093664,"D","05/15/1977 18:38:00",,"","",197705
197707,30,1900,1005977,10148028,"D","07/30/1977 19:00:00",,"","",197707
197708,21,1200,1005978,10005480,"D","08/21/1977 12:00:00",,"","",197708
197709,14,1647,1005979,9984353,"D","09/14/1977 16:47:00",,"","",197709
197710,1,700,1005980,10018345,"D","10/01/1977 07:00:00",,"","",197710
197712,5,1230,1005981,9998526,"D","12/05/1977 12:30:00",,"","",197712
197712,13,805,1005982,10129733,"D","12/13/1977 08:05:00",,"","",197712
