YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
200207,1140988,5309635,1,,"","CAPE ELIZABETH",43.56667,-70.2,,
200207,1140829,5309866,1,,"","AMIRET",44.31667,-95.7,,
200207,1140830,5309867,1,,"","TRACY",44.23333,-95.61667,,
200207,1140831,5309868,1,3,"N","WESTBROOK",44.1,-95.43333,,
200207,1140831,5309869,1,12,"NE","DELFT",44.1,-94.93333,,
200207,1140832,5309870,1,,"","STORDEN",44.05,-95.31667,,
200207,1140833,5309871,1,,"","HARRIS",43.45,-95.45,,
200207,1140834,5309872,1,,"","LAKE PARK",43.46667,-95.31667,,
200207,1140834,5309873,1,,"","SPIRIT LAKE",43.43333,-95.1,,
200207,1140835,5309874,1,1,"N","SPIRIT LAKE",43.45,-95.1,,
200207,1140836,5309875,1,,"","EVERLY",43.16667,-95.33333,,
200207,1140837,5309876,1,,"","MOVILLE",42.5,-96.06667,,
200208,1140998,5309877,1,2,"NW","BRIGHTON",42.55,-83.8,,
200208,1141051,5310099,1,5,"N","MEDINA",46.95,-99.3,,
200208,1141052,5310100,1,6,"N","CLEVELAND",46.96667,-99.11667,,
200208,1141053,5310101,1,,"","NAPOLEON",46.5,-99.76667,,
200208,1141054,5310102,1,,"","BEACH",46.91667,-104,,
200208,1141143,5310431,1,4,"SE","(LAL)LAKELAND MUNI A",27.95,-81.96667,,
200208,1141144,5310432,1,,"","SEBRING",,,,
200208,1141145,5310433,1,5,"NW","RUSKIN",,,,
200208,1141146,5310434,1,,"","TAMPA",,,,
200208,1141147,5310435,1,,"","GULFPORT",,,,
200208,1141148,5310436,1,9,"SE","BRADENTON",,,,
200208,1141149,5310437,1,,"","SARASOTA",,,,
200208,1141150,5310438,1,2,"N","CRYSTAL RIVER",,,,
200208,1141151,5310439,1,,"","BAYPORT",28.53333,-82.65,,
200208,1141152,5310440,1,3,"S","CLEARWATER",,,,
200207,1140532,5310441,1,,"","COUNTYWIDE",,,,
200207,1140532,5310442,1,,"","SOUTHEAST PORTION",,,,
200208,1141033,5310000,1,10,"SE","CARSON",46.31667,-101.41667,,
200208,1141034,5310001,1,,"","NEW SALEM",46.85,-101.41667,,
200208,1141035,5310002,1,,"","FLASHER",46.45,-101.23333,,
200208,1141036,5310003,1,,"","ST ANTHONY",46.61667,-100.91667,,
200208,1141037,5310004,1,,"","STRASBURG",46.13333,-100.16667,,
200208,1141038,5310005,1,10,"SW","GARRISON",47.55,-101.56667,,
200208,1141039,5310006,1,3,"SE","(BIS)BISMARCK MUNI A",46.75,-100.7,,
