YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
199603,2030059,5548852,1,,"","LANGLEY",34.32,-93.83,3419,9350
199603,2030060,5548853,1,2,"S","YELLVILLE",36.2,-92.68,3612,9241
199603,1002564,5548854,1,,"","COTTER",36.27,-92.53,3616,9232
199603,2030061,5548855,1,,"","COTTER",36.27,-92.53,3616,9232
199603,2030062,5548856,1,5,"WSW","MOUNTAIN HOME",36.3,-92.47,3618,9228
199603,2030063,5548857,1,2,"S","MIDWAY",36.35,-92.47,3621,9228
199603,2030064,5548858,1,,"","MOUNTAIN HOME",36.33,-92.38,3620,9223
199603,2030078,5548873,1,,"","AVILLA",34.68,-92.58,3441,9235
199603,2030079,5548874,1,,"","FLIPPIN",36.27,-92.6,3616,9236
199603,2029732,5548784,1,,"","",,,,
199603,2029732,5548785,1,,"","",,,,
199603,2029732,5548786,1,,"","",,,,
199602,1002201,5548828,1,,"","",,,,
199605,2036573,5550551,1,,"","COLLETTSVILLE",35.92,-81.68,3555,8141
199603,2030024,5548652,1,,"","NEW HEBRON",31.73,-89.98,3144,8959
199603,2030056,5548848,1,8,"WNW","DARDANELLE",35.27,-93.28,3516,9317
199603,2030057,5548849,1,,"","GILBERT",35.98,-92.72,3559,9243
199603,2030058,5548850,1,,"","MT JUDEA",35.92,-93.07,3555,9304
199603,1002561,5548851,1,,"","COMPTON",36.08,-93.3,3605,9318
199603,2030074,5548868,1,,"","FERNDALE",34.78,-92.55,3447,9233
199603,2030075,5548869,1,,"","HARRISON",36.23,-93.12,3614,9307
199603,2030076,5548870,1,1,"SE","MORGAN",34.87,-92.35,3452,9221
199603,2030077,5548871,1,,"","MORGAN",34.88,-92.37,3453,9222
199603,1002582,5548872,1,3,"N","YELLVILLE",36.28,-92.68,3617,9241
199603,2030065,5548859,1,,"","MOUNTAIN HOME",36.33,-92.38,3620,9223
199603,2030070,5548864,2,3,"WSW","SIDNEY",35.98,-91.72,3559,9143
199603,2030071,5548865,2,7,"SW","MELBOURNE",36,-92,3600,9200
199603,2030072,5548866,2,,"","PEARCY",34.43,-93.28,3426,9317
199603,2030073,5548867,1,,"","PEARCY",34.43,-93.28,3426,9317
199604,2031579,5548627,1,15,"N","LEAKEY",29.95,-99.75,2957,9945
199603,2030001,5548628,1,,"","POLKVILLE",32.18,-89.7,3211,8942
199604,2031224,5549410,1,,"","",,,,
199604,2031224,5549411,1,,"","",,,,
199605,2031133,5548555,1,,"","FLORAL",37.35,-96.92,3721,9655
199605,2031134,5548556,1,2,"S","WELLINGTON",37.23,-97.4,3714,9724
199607,2036987,5550225,1,,"","SOUTHERN PART",38.05,-86.07,3803,8604
199607,1010037,5550226,1,,"","GARRETT",37.9,-86.12,3754,8607
199607,2036988,5550227,1,,"","FLAHERTY",37.83,-86.07,3750,8604
199607,2036989,5550228,1,,"","LAWRENCEBURG",38.03,-84.9,3802,8454
199607,2036990,5550229,1,,"","THOMAS",37.68,-83.88,3741,8353
199604,2030497,5548531,1,,"","MANSFIELD",32.03,-93.72,3202,9343
199604,1003052,5548532,1,,"","COLUMBIA",32.1,-92.08,3206,9205
199604,2030498,5548533,1,,"","COLUMBIA",,,,
199604,2030499,5548534,1,,"","JAMESTOWN",32.35,-93.22,3221,9313
199604,2030500,5548535,1,,"","GRAND CANE",32.08,-93.82,3205,9349
199606,2036659,5550927,1,,"","DOUGLASS",31.67,-94.88,3140,9453
199606,2036660,5550928,2,3,"N","TYLER",32.4,-95.3,3224,9518
199606,2036661,5550929,2,3,"N","TYLER",32.4,-95.3,3224,9518
199606,2036662,5550930,1,,"","ALBA",32.78,-95.62,3247,9537
199606,2036663,5550931,1,,"","ALBA",32.78,-95.62,3247,9537
199606,2036664,5550932,2,5,"S","CENTER",31.72,-94.18,3143,9411
199605,2036569,5550546,1,,"","SAVANNAH",35.32,-83.27,3519,8316
199603,2037724,5550849,1,,"","",,,,
199603,2037724,5550850,1,,"","",,,,
199605,1009586,5550547,1,5,"W","TAYLORSVILLE",35.93,-81.25,3556,8115
199605,2036570,5550548,1,,"","NEWTON",35.68,-81.22,3541,8113
199605,2036571,5550549,1,,"","SYLVA",35.38,-83.22,3523,8313
199606,1009958,5549996,1,,"","",,,,
199601,2038175,5550316,1,,"","",,,,
199607,2037030,5550431,1,,"","NORTHEASTERN PART",,,,
199606,2036639,5550760,1,,"","DE QUEEN",34.03,-94.33,3402,9420
199601,2038176,5550321,1,,"","",,,,
199601,2038176,5550322,1,,"","",,,,
199606,2037040,5550583,1,3,"NE","GOSS",31.38,-89.87,3123,8952
199606,2037041,5550584,1,,"","PHILADELPHIA",32.77,-89.12,3246,8907
