YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
200001,2414773,5127750,1,,"","",,,,
200001,2414773,5127751,1,,"","",,,,
200001,2414773,5127752,1,,"","",,,,
200001,1090072,5127392,1,,"","",,,,
200001,1090073,5127393,1,,"","",,,,
200001,2414762,5127696,1,,"","",,,,
200001,2414762,5127697,1,,"","",,,,
200001,2414762,5127698,1,,"","",,,,
200001,1090397,5127427,1,,"","COUNTYWIDE",33.31667,-85.46667,,
200001,1090398,5127428,1,,"","",,,,
200001,1090069,5127780,1,,"","",,,,
200001,1090069,5127781,1,,"","",,,,
200001,1090069,5127782,1,,"","",,,,
200001,1090069,5127783,1,,"","",,,,
200001,1090069,5127784,1,,"","",,,,
200001,1090069,5127785,1,,"","",,,,
200001,1090069,5127786,1,,"","",,,,
200001,1090069,5127787,1,,"","",,,,
200001,1090069,5127788,1,,"","",,,,
200001,2414805,5127850,1,,"","",,,,
200001,2414805,5127851,1,,"","",,,,
200001,2414805,5127852,1,,"","",,,,
200001,2414805,5127853,1,,"","",,,,
200001,2414805,5127854,1,,"","",,,,
200001,1090405,5127810,1,,"","",,,,
200001,1090341,5127885,1,,"","",,,,
200001,1090341,5127886,1,,"","",,,,
200001,1090407,5127823,1,,"","",,,,
200001,1090408,5127824,1,,"","",,,,
200001,1090408,5127825,1,,"","",,,,
200001,1090343,5127896,1,,"","",,,,
200002,2414804,5127838,1,,"","",,,,
200002,2414804,5127839,1,,"","",,,,
200002,2414804,5127840,1,,"","",,,,
200002,2414804,5127841,1,,"","",,,,
200001,1090193,5128296,1,,"","INDEPENDENCE",,,,
200001,1090193,5128297,1,,"","DOWINGSVILLE",,,,
200001,1090193,5128298,1,,"","BUTLER",,,,
200001,1090193,5128299,1,,"","COUNTYWIDE",,,,
200001,1090193,5128300,1,,"","COUNTYWIDE",,,,
200001,1090193,5128301,1,,"","COUNTYWIDE",,,,
200001,1090070,5128341,1,,"","",,,,
200001,2414768,5126698,1,,"","",,,,
200001,2414768,5126699,1,,"","",,,,
200001,2414768,5126700,1,,"","",,,,
200001,2414768,5126701,1,,"","",,,,
200001,2414768,5126702,1,,"","",,,,
200002,2414804,5126813,1,,"","",,,,
200002,2414804,5126814,1,,"","",,,,
200001,1090256,5126763,1,,"","",,,,
200001,1090256,5126764,1,,"","",,,,
200001,1090257,5126765,1,,"","",,,,
200001,2414819,5126766,1,,"","",,,,
200001,1090411,5126767,1,,"","",,,,
200001,2414821,5126848,1,,"","",,,,
200001,2414821,5126849,1,,"","",,,,
200001,2414821,5126850,1,,"","",,,,
200001,2414821,5126851,1,,"","",,,,
200001,1090416,5126790,1,,"","",,,,
200001,1090416,5126791,1,,"","",,,,
200001,1090133,5126880,1,,"","",,,,
200001,2414767,5126685,1,,"","",,,,
200001,2414767,5126686,1,,"","",,,,
200001,2414767,5126687,1,,"","",,,,
200001,2414767,5126688,1,,"","",,,,
200001,2414767,5126689,1,,"","",,,,
200001,2414768,5126690,1,,"","",,,,
200001,2414768,5126691,1,,"","",,,,
200001,2414768,5126692,1,,"","",,,,
200002,2414804,5126809,1,,"","",,,,
200001,1090393,5126940,1,,"","",,,,
200001,1090393,5126941,1,,"","",,,,
200001,1090393,5126942,1,,"","",,,,
200001,1090393,5126943,1,,"","",,,,
200001,1090316,5126968,1,,"","",,,,
200001,1090316,5126969,1,,"","",,,,
200001,1090316,5126970,1,,"","",,,,
200001,1090317,5126971,1,,"","",,,,
200001,1090318,5126972,1,,"","",,,,
200001,1090072,5127005,1,,"","",,,,
200001,1090072,5127006,1,,"","",,,,
200001,1090072,5127007,1,,"","",,,,
200001,1090072,5127008,1,,"","",,,,
200001,2414785,5127104,1,,"","",,,,
200001,1090154,5127651,1,,"","",,,,
200002,2414792,5127652,1,,"","",,,,
200002,2414792,5127653,1,,"","",,,,
200002,2414807,5127346,1,,"","",,,,
200002,2414807,5127347,1,,"","",,,,
200002,1090441,5127377,1,,"","",,,,
